Nome: JUIZ DE FORA
Codigo Estacao: A518
Latitude: -21.769965
Longitude: -43.364329
Altitude: 936.88
Situacao: Operante
Data Inicial: 2007-05-25
Data Final: 2020-01-01
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2008-03-29;0;26.1;20.270833;16.6;81.958333;2.504167;
2008-03-30;0;22.7;17.995833;16.3;87.875;4.583333;
2008-03-31;1;21.8;16.995833;13.8;80.625;2.716667;
2008-04-01;0;23.5;18.1125;13.6;77.583333;2.241667;
2008-04-02;0;24.9;19.179167;14.7;77.708333;2.133333;
2008-04-03;0;25.9;19.729167;17.3;85.041667;2.516667;
2008-04-04;25;20.7;18.479167;16.9;94.166667;1.820833;
2008-04-05;9.4;18.6;17.104167;16;97.875;2.954167;
2008-04-06;14.8;18.3;17.25;16.2;98.458333;2.716667;
2008-04-07;10.4;23.9;19.979167;17.1;93.166667;2.633333;
2008-04-08;6.6;26.7;21.183333;18.9;91.208333;1.929167;
2008-04-09;16.8;25.3;21.204167;18.7;89.458333;1.770833;
2008-04-10;3;27.8;22.458333;19.7;85.916667;1.645833;
2008-04-11;2.6;26.8;21.6;17.1;79.416667;2.475;
2008-04-12;0;29.5;22.25;18.3;75.166667;2.479167;
2008-04-13;1;27.2;21.479167;17.9;79.041667;2.4;
2008-04-14;9.6;25.1;20.175;18.1;85;3.791667;
2008-04-15;20.6;21.4;18.525;16.6;93.375;3.283333;
2008-04-16;0;22.9;18.3875;15.6;89.583333;2.620833;
2008-04-17;0;21.7;19.0625;17;93.041667;1.620833;
2008-04-18;.2;22.6;18.995833;17.1;86.666667;3.541667;
2008-04-19;0;22.2;18.391667;16.2;91.166667;2.608333;
2008-04-20;.4;23.5;19.008333;16.8;87.583333;3.008333;
2008-04-21;.2;26.1;20.608333;18;86.833333;3.1125;
2008-04-22;0;24.3;18.995833;17.4;92.291667;1.854167;
2008-04-23;9.6;25.6;19.8375;16.6;85.125;3.175;
2008-04-24;.6;25.8;19.475;15.1;80.5;2.145833;
2008-04-25;0;25.7;20.35;16.9;81.291667;2.05;
2008-04-26;0;25.9;20.541667;16.6;75.833333;1.616667;
2008-04-27;.2;26.8;21.170833;16.6;75.208333;2.483333;
2008-04-28;0;26.1;21.2375;17.1;68.958333;2.3;
2008-04-29;0;27;21.666667;17.7;79.916667;3.075;
2008-04-30;.4;22.4;18.679167;18.1;90;4.283333;
2008-05-01;.6;16.5;null;13.6;96.2;null;
2008-05-02;null;19;15.833333;13.6;89.833333;3.191667;
2008-05-03;0;24.1;18.658333;15.2;89.416667;2.054167;
2008-05-04;0;25.6;20.266667;15.9;81.25;2.904167;
2008-05-05;0;25.8;21.054167;18;81.791667;2.108333;
2008-05-06;0;21;17.141667;14.6;76.666667;3.525;
2008-05-07;.2;19.4;14.570833;11.8;77.666667;3.741667;
2008-05-08;0;22.1;15.508333;10.6;69.125;1.8625;
2008-05-09;.2;20.2;15.104167;10.6;81.208333;2.658333;
2008-05-10;0;17.9;14.320833;12.2;89.166667;2.85;
2008-05-11;0;19.8;14.645833;12.5;86.958333;2.816667;
2008-05-12;0;18.2;14.229167;11.3;84.083333;2.0875;
2008-05-13;.6;20.7;15.441667;12.4;80.666667;2.4125;
2008-05-14;.2;21.4;15.695833;11.8;80;2.183333;
2008-05-15;0;23.3;16.979167;13.7;82.458333;1.891667;
2008-05-16;0;22.4;17.516667;14.3;85.416667;1.7375;
2008-05-17;0;18.8;16.158333;14.2;91.791667;2;
2008-05-18;0;21.7;17.0875;14.3;82.416667;2.129167;
2008-05-19;.2;25.4;18.145833;14.2;83.083333;2.383333;
2008-05-20;0;24;19.429167;16.5;70.375;1.875;
2008-05-21;0;24.3;18.183333;14.6;80.208333;2.129167;
2008-05-22;.4;24.6;18.670833;14.2;77.541667;2.7;
2008-05-23;0;24.6;19.620833;16.5;60.875;1.504167;
2008-05-24;0;25.1;19.6375;15;67.166667;2.4375;
2008-05-25;0;24.9;19.479167;14.9;65.333333;2.729167;
2008-05-26;0;24.1;19.3375;14.2;65.208333;2.741667;
2008-05-27;0;24.3;19.3125;14.9;68.625;2.341667;
2008-05-28;0;23.3;18.245833;14.8;81.458333;2.979167;
2008-05-29;0;25.6;19.2625;15.1;74.25;2.829167;
2008-05-30;0;22.8;18.275;16.4;81.791667;3.975;
2008-05-31;3;15.4;12.5625;11.1;92.791667;4.920833;
2008-06-01;.6;13.6;12.356522;11.3;98.608696;2.23913;
2008-06-02;2.4;16;13.829167;12.1;96.791667;2.55;
2008-06-03;0;18.3;14.925;13.1;90.833333;3.0375;
2008-06-04;.2;21.3;15.865217;13.1;90.73913;3;
2008-06-05;12.8;21.8;17.495833;14.8;88.416667;1.941667;
2008-06-06;.2;23;18.247826;15.6;86.956522;1.708696;
2008-06-07;0;25.8;19.245833;15.9;75.541667;2.5;
2008-06-08;.2;22.8;17.566667;14.2;83.75;2.1625;
2008-06-09;0;23.1;18.545833;15.2;79.458333;3.1375;
2008-06-10;0;25.5;19.666667;15.1;73.916667;3.55;
2008-06-11;0;22.7;18.379167;14.6;86.916667;2.275;
2008-06-12;.2;23;18.220833;15.8;86.291667;2.425;
2008-06-13;0;24.7;19.125;15.2;71;2.675;
2008-06-14;0;23.7;18.566667;14.5;77.583333;2.908333;
2008-06-15;0;25.8;19.9;15.4;66.5;3.641667;
2008-06-16;0;21.5;13.45;12.6;93.791667;4.154167;
2008-06-17;.2;14.1;11.379167;9.4;95;2.420833;
2008-06-18;0;20.3;14.7375;10.9;89.75;2.520833;
2008-06-19;.2;20.7;15.379167;12.1;88.916667;2.1875;
2008-06-20;.2;24.3;17.7375;13.5;80.291667;2.908333;
2008-06-21;0;26.7;19.633333;14.6;70.083333;3.575;
2008-06-22;0;21.4;16.866667;14.9;85.625;3.120833;
2008-06-23;0;14.7;13.004167;12.4;98.458333;2.8875;
2008-06-24;1.8;14.1;12.891667;12.2;99;1.991667;
2008-06-25;4.4;16.7;13.783333;12.6;97.041667;2.433333;
